Protein A;Gene A;Protein B;Gene B;Score;PMID
Q99614;TTC1;P62837;UBE2D2;0.081;22939629 
Q96FA3;PELI1;P62837;UBE2D2;0.309;19264966 
Q8N6S5;ARL6IP6;P62837;UBE2D2;0.126;26186194 
Q99728;BARD1;P62837;UBE2D2;0.309;12431996 
Q99933;BAG1;Q1MSW8;TP53;0.126;25036637 
Q96GF1;RNF185;P62837;UBE2D2;0.523;19549727 unassigned1304 
Q96PG8;BBC3;P02768;ALB;0.126;15174051 
Q8NEX1;Q8NEX1;P62837;UBE2D2;0.236;19690564 
Q8NG27;PJA1;P62837;UBE2D2;0.569;12036302 
Q8WV22;NSMCE1;P62837;UBE2D2;0.309;22992278 
Q8WV44;TRIM41;P62837;UBE2D2;0.309;17893151 
Q8WWF5;ZNRF4;P62837;UBE2D2;0.286;19690564 
P62837;UBE2D2;O75312;ZPR1;0.081;22939629 
P62837;UBE2D2;O75886;STAM2;0.309;17588522 
P62837;UBE2D2;O94822;LTN1;0.507;19690564 19196968 
P62837;UBE2D2;O94888;UBXN7;0.081;22939629 
P62837;UBE2D2;O95071;UBR5;0.843;21127351 19287380 26949039 11714696 23027739 
P62837;UBE2D2;P0CG48;UBC;0.772;25801170 22325355 22902369 22496338 
P62837;UBE2D2;O95786;DDX58;0.309;17719635 
P62837;UBE2D2;P00748;F12;0.309;18838541 
P62837;UBE2D2;P04049;RAF1;0.309;11676916 
P62837;UBE2D2;P10636;MAPT;0.309;14612456 
P62837;UBE2D2;P14635;CCNB1;0.309;11739784 
P62837;UBE2D2;P22681;CBL;0.964;27609087 24113870 10514377 22266821 22301280 18632619 20675402 15117950 
P62837;UBE2D2;P25963;NFKBIA;0.309;10329681 
P62837;UBE2D2;P42566;EPS15;0.309;17588522 
P62837;UBE2D2;P46527;CDKN1B;0.332;18805092 19123975 
P62837;UBE2D2;P46934;NEDD4;0.98;23175188 24831002 19193720 26304770 27557663 18632619 9990509 23603909 19953087 26263374 9182527 
P62837;UBE2D2;P61081;UBE2M;0.081;22939629 
P62837;UBE2D2;P61960;UFM1;0.183;19690564 
P62837;UBE2D2;P62081;RPS7;0.183;19549727 
P68036;UBE2L3;P62837;UBE2D2;0.081;22939629 
P78545;ELF3;P62837;UBE2D2;0.183;19549727 
Q04206;RELA;P62837;UBE2D2;0.309;14690596 
Q05086;UBE3A;P62837;UBE2D2;0.925;27902311 9182527 26216987 9990509 7724550 19325566 
Q12899;TRIM26;P62837;UBE2D2;0.286;19549727 
Q13404;UBE2V1;P62837;UBE2D2;0.081;22939629 
Q13618;CUL3;P62837;UBE2D2;0.309;19256485 
Q14139;UBE4A;P62837;UBE2D2;0.286;19690564 
Q15149;PLEC;P62837;UBE2D2;0.236;27173435 unassigned1312 
Q15831;STK11;P62837;UBE2D2;0.309;21860411 
Q15843;NEDD8;P62837;UBE2D2;0.523;17206147 
Q2KHR3;QSER1;P62837;UBE2D2;0.236;27173435 unassigned1312 
Q2M2I8;AAK1;P62837;UBE2D2;0.236;27173435 unassigned1312 
Q4VC31;CCDC58;P62837;UBE2D2;0.081;26344197 
Q68DV7;RNF43;P62837;UBE2D2;0.523;18313049 19690564 
Q86XT4;TRIM50;P62837;UBE2D2;0.49;unassigned1304 21143188 
Q86YT6;MIB1;P62837;UBE2D2;0.507;19690564 25747658 
Q8NHG8;ZNRF2;P62837;UBE2D2;0.183;19690564 
Q8TDB6;DTX3L;P62837;UBE2D2;0.61;19549727 12670957 19818714 
Q8TF42;UBASH3B;P62837;UBE2D2;0.309;17588522 
Q93008;USP9X;P62837;UBE2D2;0.081;22939629 
Q96F44;TRIM11;P62837;UBE2D2;0.416;21143188 
Q96PU5;NEDD4L;P62837;UBE2D2;0.814;19953087 20542005 20064473 27932573 22496338 
Q9BYV6;TRIM55;P62837;UBE2D2;0.286;19549727 
Q9BZR9;TRIM8;P62837;UBE2D2;0.507;19549727 22084099 
Q9C035;TRIM5;P62837;UBE2D2;0.623;19549727 18312418 12878161 
Q9NP87;POLM;P62837;UBE2D2;0.309;17588522 
Q9NRN7;AASDHPPT;P62837;UBE2D2;0.081;26344197 
Q9NYG5;ANAPC11;P62837;UBE2D2;0.941;25306923 11739784 25825779 24930963 25161877 15256223 20383333 
Q9NZS9;BFAR;P62837;UBE2D2;0.597;19549727 21068390 
Q9P2E3;ZNFX1;P62837;UBE2D2;0.183;19549727 
Q9UBF6;RNF7;P62837;UBE2D2;0.507;19549727 24438103 
Q9UGP5;POLL;P62837;UBE2D2;0.309;17588522 
Q9UKT5;FBXO4;P62837;UBE2D2;0.309;10531035 
Q9UKT7;FBXL3;P62837;UBE2D2;0.309;10531035 
Q9UKT8;FBXW2;P62837;UBE2D2;0.309;10531035 
Q9UMX0;UBQLN1;P62837;UBE2D2;0.081;22939629 
Q9Y297;BTRC;P62837;UBE2D2;0.309;10531035 
Q9Y3I1;FBXO7;P62837;UBE2D2;0.309;10531035 
P62841;RPS15;O15151;MDM4;0.21;23874713 
Q8WY64;MYLIP;P62837;UBE2D2;0.309;21685362 
P27348;YWHAQ;O15151;MDM4;0.507;17110929 18356162 16511560 
Q8WZ73;RFFL;P62837;UBE2D2;0.309;23871895 
Q9BYM8;RBCK1;P62837;UBE2D2;0.309;17006537 
Q01085;TIAL1;P62837;UBE2D2;0.081;22939629 
Q96PG8;BBC3;Q92843;BCL2L2;0.126;28514442 
Q9C029;TRIM7;P62837;UBE2D2;0.183;21143188 
Q92997;DVL3;P62837;UBE2D2;0.126;unassigned1312 
Q8TBB1;LNX1;P62837;UBE2D2;0.309;11782429 
Q9BVG3;TRIM62;P62837;UBE2D2;0.309;26488816 
Q9C040;TRIM2;P62837;UBE2D2;0.376;19549727 
Q9H0A0;NAT10;P62837;UBE2D2;0.309;26882543 
Q06587;RING1;P62837;UBE2D2;0.454;19549727 unassigned1304 
Q9H0M0;WWP1;P62837;UBE2D2;0.309;25723849 
Q969K3;RNF34;P62837;UBE2D2;0.309;15069192 
P61927;RPL37;O15151;MDM4;0.21;23874713 
Q9HA38;ZMAT3;P61956;SUMO2;0.183;19394292 
Q59EL1;Q59EL1;P62837;UBE2D2;0.126;19690564 
P62140;PPP1CB;O15151;MDM4;0.21;23277204 
Q5GLZ8;HERC4;P62837;UBE2D2;0.309;22496338 
Q5M7Z0;RNFT1;P62837;UBE2D2;0.126;19690564 
Q5TC82;RC3H1;P62837;UBE2D2;0.309;26489670 
P36873;PPP1CC;O15151;MDM4;0.21;23277204 
